did1,did2,dataset_name1,dataset_name2,num_instances,num_attributes,dimensionality,num_numeric_attr,pct_numeric_attr,num_nominal_attr,pct_nominal_attr,avg_nominal_values,sd_nominal_values,min_nominal_values,max_nominal_values,avg_numeric_mean,sd_numeric_mean,min_numeric_mean,max_numeric_mean,missing_attr_cnt,missing_attr_pct,missing_instances_max_cnt,missing_instances_max_pct,missing_instances_min_cnt,missing_instances_min_pct,missing_instances_mean,missing_instances_mean_pct,datesets_subject_main_match,datesets_duplicates_match
967,1240,cars,AirlinesCodrnaAdult,0.999623,0.7,0.998743,0.538462,0.35,0.823529,0.411765,0.595058,0.369436,0,0.0608974,0.914755,0.951384,1,0.964382,0.333333,0.55,0.997451,0.852056,0.994042,0.936719,0.993585,0.941221,0,0
967,1100,cars,PopularKids,0.150628,0.181818,0.0367219,0,0.181818,0.4,0.266667,0.964263,0.98186,0,0.971154,0.992636,0.997415,0.875,0.996643,1,1,1,1,1,1,1,1,0,0
967,40536,cars,SpeedDating,0.95154,0.926829,0.33771,0.898305,0.280488,0.953125,0.359375,0.934316,0.781655,0,0.169872,0.984334,0.994569,1,0.991272,0.966667,0.544444,0.998784,0.974904,0.904762,0.491167,0.989586,0.785094,0,0
967,4540,cars,ParkinsonSpeechDatasetwithMultipleTypesofSoundRecordings,0.60924,0.689655,0.205792,0.793103,0.333333,1,1,1,1,1,1,0.933086,0.942119,1,0.921114,1,1,1,1,1,1,1,1,0,0
967,1488,cars,parkinsons,0.519704,0.608696,0.812058,0.727273,0.30303,0.666667,0.869565,0.981191,1,0,0.99359,0.960959,0.949412,1,0.93387,1,1,1,1,1,1,1,1,0,0
967,23380,cars,cjs,0.854793,0.742857,0.435304,0.8125,0.270833,0,0.742857,0.77116,0.840776,0.666667,0.817308,0.917765,0.775248,1,0.530379,0.931035,0.731801,0.997138,0.980289,0.5,0.709585,0.999201,0.994494,0,0
967,4541,cars,Diabetes130US,0.99601,0.82,0.977836,0.538462,0.61,0.918919,0.54955,0.374227,0.2875,0.5,0.605063,0.999967,0.999976,1,0.999982,1,1,1,1,1,1,1,1,0,0
967,1498,cars,sa-heart,0.121212,0.1,0.023569,0.25,0.166667,0.333333,0.4,0.981191,1,0,0.99359,0.931296,0.962356,0.75,0.953676,1,1,1,1,1,1,1,1,0,0
967,1556,cars,acute-inflammations,0.704434,0.222222,0.619986,0.833333,0.785714,0.5,0.611111,0.981191,1,0,0.99359,0.931075,1,0.589744,0.986908,1,1,1,1,1,1,1,1,0,0
967,4329,cars,thoracic_surgery,0.13617,0.470588,0.387134,0.5,0.735294,0.785714,0.595238,0.975817,0.990733,0,0.977564,0.958174,0.974256,0.8125,0.978852,1,1,1,1,1,1,1,1,0,0
967,1570,cars,wilt,0.916098,0.333333,0.944066,0.166667,0.2,0.666667,0.5,0.981191,1,0,0.99359,0.638056,0.83949,0.333333,0.823431,1,1,1,1,1,1,1,1,0,0
967,1455,cars,acute-inflammations,0.704434,0.222222,0.619986,0.833333,0.785714,0.5,0.611111,0.981191,1,0,0.99359,0.931075,1,0.589744,0.986908,1,1,1,1,1,1,1,1,0,0
967,1513,cars,heart-switzerland,0.697044,0.307692,0.790262,0.5,0.277778,0.666667,0.769231,0.952978,1,0.6,0.983974,0.980412,0.984814,0.9375,0.981537,1,1,1,1,1,1,1,1,0,0
967,4531,cars,parkinsons-telemonitoring,0.930894,0.590909,0.831073,0.727273,0.333333,1,1,1,1,1,1,0.979676,0.978236,1,0.968781,1,1,1,1,1,1,1,1,0,0
967,1565,cars,heart-h,0.275862,0.357143,0.534483,0.538462,0.282051,0.666667,0.785714,0.952978,1,0.6,0.983974,0.92754,0.931751,1,0.922457,1,1,1,1,1,1,1,1,0,0
967,1512,cars,heart-long-beach,0.507389,0.357143,0.683322,0.538462,0.282051,0.666667,0.785714,0.952978,1,0.6,0.983974,0.979064,0.984207,0.9375,0.980195,1,1,1,1,1,1,1,1,0,0
967,1506,cars,thoracic-surgery,0.13617,0.470588,0.387134,0.5,0.735294,0.785714,0.595238,0.975817,0.990733,0,0.977564,0.958174,0.974256,0.8125,0.978852,1,1,1,1,1,1,1,1,0,0
967,40475,cars,thyroid-allhyper,0.855,0.666667,0.565,0,0.666667,0.857143,0.571429,0.979848,0.995607,0,0.983974,0.917526,0.955517,0.9375,0.962739,1,1,1,1,1,1,1,1,0,0
967,40476,cars,thyroid-allhypo,0.855,0.666667,0.565,0,0.666667,0.857143,0.571429,0.979848,0.995607,0,0.983974,0.917526,0.955517,0.9375,0.962739,1,1,1,1,1,1,1,1,0,0
967,40477,cars,thyroid-allrep,0.855,0.666667,0.565,0,0.666667,0.857143,0.571429,0.979848,0.995607,0,0.983974,0.917526,0.955517,0.9375,0.962739,1,1,1,1,1,1,1,1,0,0
967,40478,cars,thyroid-dis,0.855,0.666667,0.565,0,0.666667,0.857143,0.571429,0.979848,0.995607,0,0.983974,0.917526,0.955517,0.9375,0.962739,1,1,1,1,1,1,1,1,0,0
967,1484,cars,lsvt,0.689655,0.971061,0.991019,0.980645,0.331183,0.666667,0.990354,0.981191,1,0,0.99359,1,0.999997,1,0.99984,1,1,1,1,1,1,1,1,0,0
967,1473,cars,fertility,0.753695,0.1,0.778325,0.333333,0.259259,0.666667,0.7,0.981191,1,0,0.99359,0.999215,0.99954,1,0.999664,1,1,1,1,1,1,1,1,0,0
967,1480,cars,ilpd,0.303602,0.181818,0.148847,0.333333,0.185185,0.333333,0.454545,0.981191,1,0,0.99359,0.893765,0.916729,0.9375,0.902316,1,1,1,1,1,1,1,1,0,0
967,1023,cars,soybean,0.405564,0.75,0.579434,1,1,0.916667,0.666667,0.973615,0.992969,0,0.977564,1,1,1,1,0.941176,0.764706,0.933884,0.888776,0.833333,0.900927,0.976038,0.959689,0,0
967,40497,cars,thyroid-ann,0.892365,0.590909,0.736892,0.714286,0.301587,0.666667,0.863636,0.971787,1,0.333333,0.990385,0.999916,0.999803,1,0.999664,1,1,1,1,1,1,1,1,0,0
967,4546,cars,Plants,0.990966,0.4375,0.983939,1,1,0.8125,0.666667,0.952471,0.982721,0.964912,0.991044,1,1,1,1,1,1,1,1,1,1,1,1,0,0
967,1491,cars,one-hundred-plants-margin,0.74625,0.861538,0.454339,0.90625,0.322917,0.666667,0.953846,0.0595612,1,0.98,0.679487,1,1,1,1,1,1,1,1,1,1,1,1,0,0
967,1492,cars,one-hundred-plants-shape,0.74625,0.861538,0.454339,0.90625,0.322917,0.666667,0.953846,0.0595612,1,0.98,0.679487,1,1,1,1,1,1,1,1,1,1,1,1,0,0
967,1493,cars,one-hundred-plants-texture,0.746091,0.861538,0.45468,0.90625,0.322917,0.666667,0.953846,0.0595612,1,0.98,0.679487,1,1,1,1,1,1,1,1,1,1,1,1,0,0
967,23516,cars,debutanizer,0.830409,0.111111,0.849253,0.25,0.333333,1,1,1,1,1,1,0.998895,0.999552,1,0.999664,1,1,1,1,1,1,1,1,0,0
967,1482,cars,leaf,0.162562,0.4375,0.528941,0.6,0.288889,0.666667,0.8125,0.717868,1,0.933333,0.903846,0.998233,0.998649,1,0.997986,1,1,1,1,1,1,1,1,0,0
967,4553,cars,TurkiyeStudentEvaluation,0.930241,0.727273,0.744215,0.818182,0.333333,1,1,1,1,1,1,0.994698,0.999245,0.9375,0.99765,1,1,1,1,1,1,1,1,0,0
967,1058,cars,humans_numeric,0.815271,0.4,0.889163,0.6,0.333333,1,1,1,1,1,1,0.994109,0.997595,0.9375,0.996307,1,1,1,1,1,1,1,1,0,0
967,1115,cars,teachingAssistant,0.628079,0.222222,0.521816,0.666667,0.571429,0.4,0.533333,0.890909,0.921892,0,0.916667,0.9081,0.977795,0.428571,0.974488,1,1,1,1,1,1,1,1,0,0
967,1563,cars,dbworld-subjects-stemmed,0.842365,0.96087,0.993832,1,1,0.986957,0.666667,0.981191,1,0,0.99359,1,1,1,1,1,1,1,1,1,1,1,1,0,0
967,1564,cars,dbworld-subjects,0.842365,0.962963,0.994162,1,1,0.987654,0.666667,0.981191,1,0,0.99359,1,1,1,1,1,1,1,1,1,1,1,1,0,0
967,1112,cars,KDDCup09_churn,0.99188,0.961039,0.791587,0.96875,0.197917,0.923077,0.493506,0.942005,0.964586,0.5,0.97976,0.996946,0.998477,1,0.999518,0.990521,0.756714,0.99984,0.980296,0.833333,0.998647,0.999955,0.994485,0,0
967,4535,cars,Census-Income,0.998643,0.785714,0.993669,0.538462,0.535714,0.896552,0.517241,0.870933,0.900261,0,0.836538,0.640829,0.57593,1,0.415911,1,1,1,1,1,1,1,1,0,0
967,4545,cars,OnlineNewsPopularity,0.989759,0.852459,0.930588,0.9,0.322222,0.666667,0.95082,0.997318,1,0.99995,0.99213,0.968023,0.989323,1,0.99604,1,1,1,1,1,1,1,1,0,0
967,1200,cars,BNG(stock),0.993124,0.1,0.99236,0.4,0.333333,1,1,1,1,1,1,0.92648,0.985452,0.157895,0.976166,1,1,1,1,1,1,1,1,0,0
967,969,cars,iris,0.630542,0.444444,0.334975,0.333333,0.166667,0.666667,0.4,0.981191,1,0,0.99359,0.993814,0.998332,0.9375,0.997986,1,1,1,1,1,1,1,1,0,0
991,1092,car,Crash,0.796296,0.5,0.898148,1,1,0.142857,0.571429,0.946862,0.990073,0,0.977012,1,1,1,1,1,1,1,1,1,1,1,1,1,0
991,1235,car,Agrawal1,0.998272,0.3,0.997531,1,1,0.428571,0.6,0.634921,0.897368,0,0.8,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1242,car,vehicleNorm,0.982462,0.930693,0.746949,1,1,0.857143,0.990099,0.391304,1,0,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1169,car,airlines,0.996796,0.125,0.996339,1,1,0.285714,0.375,0.9732,0.994973,0,0.986348,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,5587,car,COMET_MC,0.999773,0.142857,0.999806,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
991,5648,car,COMET_MC,0.999773,0.142857,0.999806,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
991,5889,car,COMET_MC,0.999773,0.142857,0.999806,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
991,1076,car,nasa_numeric,0.946181,0.708333,0.984303,1,1,0.65,0.166667,0.277865,0.717734,0,0.714286,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1068,car,pc1,0.358218,0.681818,0.795797,1,1,0.857143,0.954545,0.391304,1,0,0.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0
991,1240,car,AirlinesCodrnaAdult,0.998395,0.766667,0.993122,1,1,0.588235,0.433333,0.923692,0.992368,0,0.986348,1,1,0,1,1,1,1,1,1,1,1,1,0,0
991,1100,car,PopularKids,0.72338,0.363636,0.823969,1,1,0.285714,0.545455,0.135338,0.734721,0,0.555556,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,40536,car,SpeedDating,0.793746,0.943089,0.724076,1,1,0.890625,0.479675,0.529562,0.977961,0,0.984556,1,1,0,1,1,1,1,1,1,1,1,1,0,0
991,4540,car,ParkinsonSpeechDatasetwithMultipleTypesofSoundRecordings,0.398727,0.758621,0.854865,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
991,1488,car,parkinsons,0.887153,0.695652,0.965655,1,1,0.857143,0.956522,0.391304,1,0,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,23380,car,cjs,0.381974,0.8,0.676389,1,1,0.571429,0.914286,0.864971,0.969777,0.666667,0.929825,1,1,0,1,1,1,1,1,1,1,1,1,0,0
991,4541,car,Diabetes130US,0.98302,0.86,0.878713,1,1,0.810811,0.26,0.950621,0.996571,0.5,0.994937,1,1,0,1,0,0,0,0,0,0,0,0,0,0
991,1498,car,sa-heart,0.732639,0.3,0.812847,1,1,0.714286,0.8,0.391304,1,0,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1556,car,acute-inflammations,0.930556,0,0.930556,1,1,0.142857,0.142857,0.391304,1,0,0.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0
991,4329,car,thoracic_surgery,0.728009,0.588235,0.888004,1,1,0.5,0.176471,0.217391,0.480709,0,0.428571,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1570,car,wilt,0.642901,0.142857,0.693915,1,1,0.857143,0.833333,0.391304,1,0,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1455,car,acute-inflammations,0.930556,0,0.930556,1,1,0.142857,0.142857,0.391304,1,0,0.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0
991,1513,car,heart-switzerland,0.928819,0.461538,0.961672,1,1,0.857143,0.923077,0.342857,1,0.6,0.2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,4531,car,parkinsons-telemonitoring,0.705872,0.681818,0.0755988,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
991,1565,car,heart-h,0.829861,0.5,0.914931,1,1,0.857143,0.928571,0.342857,1,0.6,0.2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1512,car,heart-long-beach,0.884259,0.5,0.94213,1,1,0.857143,0.928571,0.342857,1,0.6,0.2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1506,car,thoracic-surgery,0.728009,0.588235,0.888004,1,1,0.5,0.176471,0.217391,0.480709,0,0.428571,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,40475,car,thyroid-allhyper,0.382857,0.740741,0.579904,1,1,0.666667,0.222222,0.347826,0.0871291,0,0.2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,40476,car,thyroid-allhypo,0.382857,0.740741,0.579904,1,1,0.666667,0.222222,0.347826,0.0871291,0,0.2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,40477,car,thyroid-allrep,0.382857,0.740741,0.579904,1,1,0.666667,0.222222,0.347826,0.0871291,0,0.2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,40478,car,thyroid-dis,0.382857,0.740741,0.579904,1,1,0.666667,0.222222,0.347826,0.0871291,0,0.2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1484,car,lsvt,0.927083,0.977492,0.998359,1,1,0.857143,0.996785,0.391304,1,0,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1473,car,fertility,0.94213,0.3,0.959491,1,1,0.857143,0.9,0.391304,1,0,0.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0
991,1480,car,ilpd,0.662616,0.363636,0.785301,1,1,0.714286,0.818182,0.391304,1,0,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1023,car,soybean,0.604745,0.805556,0.923145,0,0,0.805556,0,0.146135,0.315552,0,0.428571,0,0,0,0,1,1,1,1,1,1,1,1,0,0
991,40497,car,thyroid-ann,0.541888,0.681818,0.30545,1,1,0.857143,0.954545,0.0869566,1,0.333333,0.25,1,1,0,1,0,0,0,0,0,0,0,0,0,0
991,4546,car,Plants,0.961549,0.5625,0.912111,0,0,0.5625,0,0.998531,0.999917,0.964912,0.999885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,1491,car,one-hundred-plants-margin,0.0740741,0.892308,0.900285,1,1,0.857143,0.984615,0.967143,1,0.98,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,1492,car,one-hundred-plants-shape,0.0740741,0.892308,0.900285,1,1,0.857143,0.984615,0.967143,1,0.98,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,1493,car,one-hundred-plants-texture,0.0746528,0.892308,0.900347,1,1,0.857143,0.984615,0.967143,1,0.98,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,23516,car,debutanizer,0.278196,0.125,0.175081,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
991,1482,car,leaf,0.803241,0.5625,0.913918,1,1,0.857143,0.9375,0.890476,1,0.933333,0.866667,1,1,0,1,0,0,0,0,0,0,0,0,0,0
991,4553,car,TurkiyeStudentEvaluation,0.703093,0.787879,0.285564,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1058,car,humans_numeric,0.956597,0.533333,0.979745,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1115,car,teachingAssistant,0.912616,0,0.912616,1,1,0.285714,0.285714,0.716749,0.938391,0,0.846154,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1563,car,dbworld-subjects-stemmed,0.962963,0.969565,0.998873,0,0,0.969565,0,0.391304,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,1564,car,dbworld-subjects,0.962963,0.971193,0.998933,0,0,0.971193,0,0.391304,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,1112,car,KDDCup09_churn,0.96544,0.969697,0.123176,1,1,0.820513,0.831169,0.998208,0.99983,0.5,0.999741,1,1,1,1,1,1,1,1,1,1,1,1,0,0
991,4535,car,Census-Income,0.994226,0.833333,0.965357,1,1,0.758621,0.309524,0.760589,0.951752,0,0.921569,1,1,0,1,0,0,0,0,0,0,0,0,0,0
991,4545,car,OnlineNewsPopularity,0.956412,0.885246,0.620162,1,1,0.857143,0.983607,0.999917,1,0.99995,0.999899,1,1,1,1,0,0,0,0,0,0,0,0,0,0
991,1200,car,BNG(stock),0.970736,0.3,0.958195,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,967,car,cars,0.765046,0.222222,0.817258,1,1,0.571429,0.666667,0.966413,0.996597,0.333333,0.987179,1,1,1,1,1,1,1,1,1,1,1,1,1,0
21,991,car,car,0,0,0,0,0,0,0,0.08,0.292893,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
21,455,car,cars,0.765046,0.222222,0.817258,1,1,0.571429,0.666667,0.966518,0.996592,0,0.987179,1,1,1,1,1,1,1,1,1,1,1,1,1,0
21,1092,car,Crash,0.796296,0.5,0.898148,1,1,0.142857,0.571429,0.942241,0.992981,0.333333,0.977012,1,1,1,1,1,1,1,1,1,1,1,1,1,0
21,52,car,trains,0.994213,0.787879,0.998772,0,0,0.787879,0,0.329697,0.638608,0.666667,0.5,0,0,0,0,1,1,1,1,1,1,1,1,0,0
21,569,car,auto93,0.946181,0.695652,0.98362,1,1,0.142857,0.73913,0.544073,0.95263,0.333333,0.870968,1,1,1,1,1,1,1,1,1,1,1,1,1,0
21,547,car,no2,0.710648,0.125,0.746817,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
21,202,car,autoHorse,0.881366,0.730769,0.96806,1,1,0.125,0.692308,0.439776,0.921493,0.333333,0.818182,1,1,1,1,1,1,1,1,1,1,1,1,1,0
21,207,car,autoPrice,0.907986,0.5625,0.959744,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
21,31,car,credit-g,0.421296,0.666667,0.807099,1,1,0.5,0.333333,0.107143,0.748024,0.333333,0.6,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,195,car,auto_price,0.907986,0.5625,0.959744,1,1,0.857143,0.9375,0.404762,1,0.5,0.333333,1,1,1,1,0,0,0,0,0,0,0,0,1,0
21,126,car,"BNG(credit-g,nominal,1000000)",0.998272,0.666667,0.994816,0,0,0.666667,0,0.0506329,0.736035,0.333333,0.636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,260,car,BNG(credit-g),0.998272,0.666667,0.994816,1,1,0.5,0.333333,0.137931,0.774982,0.333333,0.636364,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,522,car,pm10,0.710648,0.125,0.746817,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
21,1235,car,Agrawal1,0.998272,0.3,0.997531,1,1,0.428571,0.6,0.603175,0.927428,0.333333,0.8,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,54,car,vehicle,0.510417,0.631579,0.819627,1,1,0.857143,0.947368,0.107143,1,0.25,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,1242,car,vehicleNorm,0.982462,0.930693,0.746949,1,1,0.857143,0.990099,0.44,1,0.333333,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,1169,car,airlines,0.996796,0.125,0.996339,1,1,0.285714,0.375,0.970869,0.996446,0.333333,0.986348,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,512,car,balloon,0.136432,0.571429,0.629899,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
21,5587,car,COMET_MC,0.999773,0.142857,0.999806,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
21,5648,car,COMET_MC,0.999773,0.142857,0.999806,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
21,5889,car,COMET_MC,0.999773,0.142857,0.999806,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
21,1076,car,nasa_numeric,0.946181,0.708333,0.984303,1,1,0.65,0.166667,0.215071,0.800408,0.333333,0.714286,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,1068,car,pc1,0.358218,0.681818,0.795797,1,1,0.857143,0.954545,0.44,1,0.333333,0.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0
21,1240,car,AirlinesCodrnaAdult,0.998395,0.766667,0.993122,1,1,0.588235,0.433333,0.917057,0.994604,0.333333,0.986348,1,1,0,1,1,1,1,1,1,1,1,1,0,0
21,1100,car,PopularKids,0.72338,0.363636,0.823969,1,1,0.285714,0.545455,0.0601504,0.812419,0.333333,0.555556,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,495,car,baseball-pitcher,0.880787,0.631579,0.956079,1,1,0.285714,0.736842,0.930786,0.993641,0.333333,0.980583,1,1,1,1,1,1,1,1,1,1,1,1,0,0
21,515,car,baseball-team,0.984954,0.222222,0.988297,1,1,0.428571,0.555556,0.591837,0.945246,0.333333,0.833333,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,525,car,baseball-hitter,0.813657,0.708333,0.94565,1,1,0,0.708333,0.937656,0.995442,0.333333,0.987578,1,1,1,1,1,1,1,1,1,1,1,1,0,0
21,509,car,places,0.809606,0.3,0.866724,1,1,0.857143,0.9,0.989145,1,0.990881,0.987842,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,560,car,bodyfat,0.854167,0.533333,0.931944,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,508,car,nflpass,0.984954,0,0.984954,1,1,0.857143,0.857143,0.862637,1,0.884615,0.846154,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,40536,car,SpeedDating,0.793746,0.943089,0.724076,1,1,0.890625,0.479675,0.488655,0.984416,0.333333,0.984556,1,1,0,1,1,1,1,1,1,1,1,1,0,0
21,26,car,nursery,0.866667,0.222222,0.828571,0,0,0.222222,0,0.00444443,0.482251,0.333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4540,car,ParkinsonSpeechDatasetwithMultipleTypesofSoundRecordings,0.398727,0.758621,0.854865,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
21,959,car,nursery,0.866667,0.222222,0.828571,0,0,0.222222,0,0.0977777,0.459892,0.333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,73,car,"BNG(labor, nominal, 1000000)",0.998272,0.588235,0.995803,0,0,0.588235,0,0.225882,0.142843,0.333333,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,246,car,BNG(labor),0.998272,0.588235,0.995803,1,1,0.222222,0.470588,0.284444,0.00409,0.333333,0.25,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,528,car,humandevel,0.924769,0.428571,0.868345,1,1,0.857143,0.75,0.972528,1,0.976923,0.969231,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,1488,car,parkinsons,0.887153,0.695652,0.965655,1,1,0.857143,0.956522,0.44,1,0.333333,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,37,car,diabetes,0.555556,0.222222,0.654321,1,1,0.857143,0.888889,0.44,1,0.333333,0.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0
21,446,car,prnn_crabs,0.884259,0.125,0.898727,1,1,0.714286,0.75,0.44,1,0.333333,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,457,car,prnn_cushings,0.984375,0.428571,0.972656,1,1,0.714286,0.5,0.769585,0.956968,0.25,0.851852,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,952,car,prnn_fglass,0.876157,0.3,0.91331,1,1,0.857143,0.9,0.404762,1,0.5,0.333333,1,1,0,1,0,0,0,0,0,0,0,0,0,0
21,23380,car,cjs,0.381974,0.8,0.676389,1,1,0.571429,0.914286,0.853229,0.978629,0.5,0.929825,1,1,0,1,1,1,1,1,1,1,1,1,0,0
21,4541,car,Diabetes130US,0.98302,0.86,0.878713,1,1,0.810811,0.26,0.946327,0.997576,0.666667,0.994937,1,1,0,1,0,0,0,0,0,0,0,0,0,0
