did,dataset_name,num_instances,num_attributes,dimensionality,num_numeric_attr,pct_numeric_attr,num_nominal_attr,pct_nominal_attr,avg_nominal_values,sd_nominal_values,min_nominal_values,max_nominal_values,avg_numeric_mean,sd_numeric_mean,min_numeric_mean,max_numeric_mean,missing_attr_cnt,missing_attr_pct,missing_instances_max_cnt,missing_instances_max_pct,missing_instances_min_cnt,missing_instances_min_pct,missing_instances_mean,missing_instances_mean_pct
1462,banknote-authentication,1372,5,0.364432,4,80,1,20,2,0,2,2,0.5,1.11803,-1,2,0,0,0,0,0,0,0,0
327,bridges,105,13,12.381,3,23.0769,10,76.9231,18.6,32.5337,2,105,1158,828.215,3,1904,7,53.8462,24,22.8571,1,0.952381,4.69231,4.46886
1478,har,10299,562,5.45684,561,99.8221,1,0.177936,6,0,6,6,-0.614973,0.542054,-1,1,0,0,0,0,0,0,0,0
29,credit-a,690,16,2.31884,6,37.5,10,62.5,4.2,3.84187,2,14,207,367.901,2,1017,7,43.75,13,1.88406,6,0.869565,4.1875,0.606884
187,wine,178,14,7.86517,13,92.8571,1,7.14286,3,0,3,3,69.0769,197.399,0,747,0,0,0,0,0,0,0,0
14,mfeat-fourier,2000,77,3.85,76,98.7013,1,1.2987,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
1042,gina_prior,3468,785,22.6355,784,99.8726,1,0.127389,2,0,2,2,33.4426,42.5097,0,138,0,0,0,0,0,0,0,0
23,cmc,1473,10,0.678887,2,20,8,80,3.125,0.927025,2,4,18,15,3,33,0,0,0,0,0,0,0,0
189,kin8nm,8192,9,0.109863,9,100,0,0,0,0,0,0,0.111111,0.31427,0,1,0,0,0,0,0,0,0,0
1597,creditcard,284807,31,0.0108846,30,96.7742,1,3.22581,2,0,2,2,3163.4,17019.1,0,94814,0,0,0,0,0,0,0,0
534,cps_85_wages,534,11,2.05993,4,36.3636,7,63.6364,2.85714,1.35526,2,6,19.25,10.7325,9,37,0,0,0,0,0,0,0,0
1063,kc2,522,22,4.21456,21,95.4545,1,4.54545,2,0,2,2,977.857,3935.71,0,18543,0,0,0,0,0,0,0,0
18,mfeat-morphological,2000,7,0.35,6,85.7143,1,14.2857,10,0,10,10,1052.67,2282.53,0,6155,0,0,0,0,0,0,0,0
232,fishcatch,158,8,5.06329,6,75,2,25,4.5,2.5,2,7,87.6667,139.337,14,399,1,12.5,87,55.0633,87,55.0633,10.875,6.88291
1500,seismic-bumps,210,8,3.80952,7,87.5,1,12.5,3,0,3,3,7,5.26444,1,15,0,0,0,0,0,0,0,0
30,page-blocks,5473,11,0.200987,10,90.9091,1,9.09091,5,0,5,5,253.3,386.848,0,1198,0,0,0,0,0,0,0,0
1093,Brainsize,40,7,17.5,6,85.7143,1,14.2857,2,0,2,2,151552,338632,69,908755,2,28.5714,2,5,1,2.5,0.428571,1.07143
544,transplant,131,4,3.05344,4,100,0,0,0,0,0,0,24.5,26.2059,2,66,0,0,0,0,0,0,0,0
55,hepatitis,155,20,12.9032,6,30,14,70,2,0,2,2,49.8333,38.8648,1,105,15,75,67,43.2258,1,0.645161,8.35,5.3871
1514,micro-mass,360,1301,361.389,999,76.7871,1,0.076864,10,0,10,10,43451.5,125137,0,1.42E+06,0,0,0,0,0,0,0,0
470,profb,672,10,1.4881,5,50,5,50,12.6,12.6111,1,28,28.8,31.2308,5,90,2,20,640,95.2381,560,83.3333,120,17.8571
12,mfeat-factors,2000,217,10.85,216,99.5392,1,0.460829,10,0,10,10,318.269,345.941,7,1142,0,0,0,0,0,0,0,0
477,fl2000,67,17,25.3731,14,82.3529,3,17.6471,24.6667,29.9592,2,67,6541.14,15078.8,0,43454,0,0,0,0,0,0,0,0
1114,KDDCup09_upselling,50000,231,0.462,192,83.1169,39,16.8831,1833.49,4106.71,1,15415,185277,709771,-153279,6.18E+06,211,91.342,50000,100,1,0.002,34736.6,69.4732
301,ozone_level,2536,73,2.87855,1,1.36986,72,98.6301,315.389,389.508,56,1688,0,0,0,0,0,0,0,0,0,0,0,0
1472,energy-efficiency,768,10,1.30208,8,80,2,20,37.5,0.5,37,38,147.625,226.489,0,672,0,0,0,0,0,0,0,0
151,electricity,45312,9,0.0198623,7,77.7778,2,22.2222,4.5,2.5,2,7,0.285714,0.451754,0,1,0,0,0,0,0,0,0,0
216,elevators,16599,19,0.114465,19,100,0,0,0,0,0,0,-1.94737,4.37064,-13,0,0,0,0,0,0,0,0,0
480,prnn_viruses,61,19,31.1475,10,52.6316,9,47.3684,7.11111,2.18299,4,10,13.1,4.34626,5,20,0,0,0,0,0,0,0,0
1502,skin-segmentation,245057,4,0.00163227,3,75,1,25,2,0,2,2,127,4.32049,123,133,0,0,0,0,0,0,0,0
1083,mouseType,214,45102,21075.7,999,2.21498,1,0.0022172,7,0,7,7,2.40641,1.03637,1,6,0,0,0,0,0,0,0,0
562,cpu_small,8192,13,0.158691,13,100,0,0,0,0,0,0,125047,351771,2,1.33E+06,0,0,0,0,0,0,0,0
1054,mc2,161,40,24.8447,39,97.5,1,2.5,2,0,2,2,1526.59,8638.57,0,54689,0,0,0,0,0,0,0,0
28,optdigits,5620,65,1.15658,64,98.4615,1,1.53846,10,0,10,10,4.9375,4.30797,0,12,0,0,0,0,0,0,0,0
40,sonar,208,61,29.3269,60,98.3607,1,1.63934,2,0,2,2,0.216667,0.411974,0,1,0,0,0,0,0,0,0,0
300,isolet,7797,618,7.92613,617,99.8382,1,0.161812,26,0,26,26,-0.0421394,0.541479,-1,1,0,0,0,0,0,0,0,0
1519,robot-failures-lp4,117,91,77.7778,90,98.9011,1,1.0989,3,0,3,3,-28.2111,65.1618,-271,14,0,0,0,0,0,0,0,0
541,socmob,1156,6,0.519031,2,33.3333,4,66.6667,9.5,7.5,2,17,17.5,0.5,17,18,0,0,0,0,0,0,0,0
343,white-clover,63,32,50.7937,27,84.375,5,15.625,4,1.54919,3,7,13.6667,8.47218,0,31,0,0,0,0,0,0,0,0
1067,kc1,2109,22,1.04315,21,95.4545,1,4.54545,2,0,2,2,285.19,1111.14,0,5242,0,0,0,0,0,0,0,0
1029,LEV,1000,5,0.5,5,100,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0
1503,spoken-arabic-digit,263256,15,0.00569788,14,93.3333,1,6.66667,10,0,10,10,-0.142857,1.18666,-3,2,0,0,0,0,0,0,0,0
686,rmftsa_ctoarrivals,264,3,1.13636,2,66.6667,1,33.3333,12,0,12,12,58539.5,56549.5,1990,115089,0,0,0,0,0,0,0,0
16,mfeat-karhunen,2000,65,3.25,64,98.4615,1,1.53846,10,0,10,10,0.078125,0.756321,-2,3,0,0,0,0,0,0,0,0
505,tecator,240,125,52.0833,125,100,0,0,0,0,0,0,3.376,5.85377,0,63,0,0,0,0,0,0,0,0
1056,mc1,9466,39,0.412001,38,97.4359,1,2.5641,2,0,2,2,360.605,2023.44,0,12649,0,0,0,0,0,0,0,0
24,mushroom,8124,23,0.283112,0,0,23,100,5.13043,3.11105,1,12,0,0,0,0,1,4.34783,2480,30.5268,2480,30.5268,107.826,1.32725
41,glass,214,10,4.6729,9,90,1,10,6,0,6,6,11.2222,22.26,0,73,0,0,0,0,0,0,0,0
1487,ozone-level-8hr,2534,73,2.88082,72,98.6301,1,1.36986,2,0,2,2,296.528,1409.72,-11,10164,0,0,0,0,0,0,0,0
328,bridges,105,13,12.381,0,0,13,100,15.1538,29.2202,2,105,0,0,0,0,7,53.8462,24,22.8571,1,0.952381,4.69231,4.46886
1490,planning-relax,182,13,7.14286,12,92.3077,1,7.69231,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1059,ar1,121,30,24.7934,29,96.6667,1,3.33333,2,0,2,2,119.586,520.306,0,2862,0,0,0,0,0,0,0,0
1511,wholesale-customers,440,9,2.04545,7,77.7778,2,22.2222,2.5,0.5,2,3,4746.86,3838.65,3,12000,0,0,0,0,0,0,0,0
1075,datatrieve,130,9,6.92308,8,88.8889,1,11.1111,2,0,2,2,357.75,393.074,1,903,0,0,0,0,0,0,0,0
511,plasma_retinol,315,14,4.44444,11,78.5714,3,21.4286,2.66667,0.471405,2,3,547.273,730.795,3,2186,0,0,0,0,0,0,0,0
4549,Buzzinsocialmedia_Twitter,583250,78,0.0133733,78,100,0,0,0,0,0,0,74.6667,85.8109,0,234,0,0,0,0,0,0,0,0
1086,ovarianTumour,283,54622,19301.1,999,1.82893,1,0.00183076,3,0,3,3,2.61461,0.95684,1,6,0,0,0,0,0,0,0,0
563,kdd_el_nino-small,782,9,1.1509,7,77.7778,2,22.2222,36.5,22.5,14,59,9.85714,41.947,-66,84,5,55.5556,158,20.2046,73,9.33504,59.8889,7.65843
285,flags,194,30,15.4639,2,6.66667,28,93.3333,11.4286,35.2981,2,194,361.5,338.5,23,700,0,0,0,0,0,0,0,0
180,covertype,110393,55,0.049822,14,25.4545,41,74.5455,2.12195,0.771287,2,7,596.214,978.62,0,2958,0,0,0,0,0,0,0,0
227,cpu_small,8192,13,0.158691,13,100,0,0,0,0,0,0,125047,351771,2,1.33E+06,0,0,0,0,0,0,0,0
538,colleges_usnews,1302,35,2.68817,33,94.2857,2,5.71429,662.5,611.5,51,1274,1666.18,2502.09,2,9277,31,88.5714,639,49.0783,2,0.15361,226.514,17.3974
1088,variousCancers_final,383,54676,14275.7,999,1.82713,1,0.00182896,9,0,9,9,2.24625,0.962471,0,5,0,0,0,0,0,0,0,0
554,mnist_784,70000,785,1.12143,784,99.8726,1,0.127389,10,0,10,10,33.3788,42.579,0,140,0,0,0,0,0,0,0,0
222,echoMonths,130,10,7.69231,7,70,3,30,2,0,2,2,16.7143,20.2253,0,63,7,70,57,43.8462,1,0.769231,9.7,7.46154
1518,robot-failures-lp3,47,91,193.617,90,98.9011,1,1.0989,4,0,4,4,8.57778,33.0461,-21,83,0,0,0,0,0,0,0,0
17,bridges,107,13,12.1495,3,23.0769,10,76.9231,18.8,33.066,2,107,1158.33,828.516,3,1905,9,69.2308,26,24.2991,1,0.934579,5.61538,5.24802
567,kdd_coil_1,316,12,3.79747,9,75,3,25,3.33333,0.471405,3,4,47.5556,52.6458,3,160,8,66.6667,23,7.27848,2,0.632911,4.66667,1.47679
22,mfeat-zernike,2000,48,2.4,47,97.9167,1,2.08333,10,0,10,10,88.6596,104.07,0,509,0,0,0,0,0,0,0,0
1471,eeg-eye-state,14980,15,0.100134,14,93.3333,1,6.66667,2,0,2,2,4316.79,187.133,4010,4644,0,0,0,0,0,0,0,0
473,cjs,2796,35,1.25179,32,91.4286,3,8.57143,24.3333,23.1565,6,57,46.5313,242.918,0,1399,29,82.8571,2795,99.9642,12,0.429185,1945.71,69.5892
203,lowbwt,189,10,5.29101,3,30,7,70,3,1.41421,2,6,1032.67,1352.93,23,2945,0,0,0,0,0,0,0,0
1501,semeion,1593,257,16.1331,256,99.6109,1,0.389105,10,0,10,10,0.0585938,0.234863,0,1,0,0,0,0,0,0,0,0
483,iq_brain_size,20,9,45,6,66.6667,3,33.3333,4.66667,3.77124,2,10,545.667,722.688,7,1906,0,0,0,0,0,0,0,0
25,colic,368,28,7.6087,7,25,21,75,22.3333,71.5005,2,337,31.2857,21.9396,3,71,21,75,299,81.25,2,0.543478,68.8214,18.7015
451,irish,500,6,1.2,2,33.3333,4,66.6667,4.25,3.34477,2,10,69.5,30.5,39,100,2,33.3333,26,5.2,6,1.2,5.33333,1.06667
4532,higgs,98050,29,0.0295767,29,100,0,0,0,0,0,0,0.62069,0.485215,0,1,9,31.0345,1,0.00101989,1,0.00101989,0.310345,0.000316517
205,sleep,62,8,12.9032,8,100,0,0,0,0,0,0,82.875,103.351,2,283,3,37.5,4,6.45161,4,6.45161,1.5,2.41935
224,breastTumor,286,10,3.4965,2,20,8,80,4.625,5.1463,2,18,38,13,25,51,2,20,8,2.7972,1,0.34965,0.9,0.314685
1049,pc4,1458,38,2.60631,37,97.3684,1,2.63158,2,0,2,2,583.487,3159.62,0,19506,0,0,0,0,0,0,0,0
1168,electricity_prices_ICON,38014,18,0.047351,16,88.8889,1,5.55556,15,0,15,15,724.75,1297.72,0,4020,9,50,299,0.786552,2,0.00526122,34.3889,0.0904638
4675,Physical_Activity_Recognition_Dataset_Using_Smartphone_Sensors,644412,11,0.00170698,9,81.8182,1,9.09091,6,0,6,6,9.22222,48.641,-41,141,0,0,0,0,0,0,0,0
1497,wall-robot-navigation,5456,25,0.458211,24,96,1,4,4,0,4,4,2.04167,0.789471,1,3,0,0,0,0,0,0,0,0
1557,abalone,4177,9,0.215466,7,77.7778,2,22.2222,3,0,3,3,0.285714,0.451754,0,1,0,0,0,0,0,0,0,0
1096,FacultySalaries,50,6,12,5,83.3333,1,16.6667,50,0,50,50,45.2,24.7984,0,74,0,0,0,0,0,0,0,0
329,hayes-roth,160,5,3.125,4,80,1,20,3,0,3,3,2,0,2,2,0,0,0,0,0,0,0,0
32,pendigits,10992,17,0.154658,16,94.1176,1,5.88235,10,0,10,10,50.8125,16.2335,29,85,0,0,0,0,0,0,0,0
1089,USCrime,47,14,29.7872,14,100,0,0,0,0,0,0,216.5,268.896,0,983,0,0,0,0,0,0,0,0
1477,gas-drift-different-concentrations,13910,130,0.934579,129,99.2308,1,0.769231,6,0,6,6,2771.04,9365.78,-73,57340,0,0,0,0,0,0,0,0
1515,micro-mass,571,1301,227.846,999,76.7871,1,0.076864,20,0,20,20,63220,173454,0,2.16E+06,0,0,0,0,0,0,0,0
1036,sylva_agnostic,14395,217,1.50747,216,99.5392,1,0.460829,2,0,2,2,84.2546,203.466,0,879,0,0,0,0,0,0,0,0
56,vote,435,17,3.90805,0,0,17,100,2,0,2,2,0,0,0,0,16,94.1176,104,23.908,7,1.6092,23.0588,5.30088
507,space_ga,3107,7,0.225298,7,100,0,0,0,0,0,0,-7.62E+06,3.68E+07,-9.16E+07,3.83E+07,0,0,0,0,0,0,0,0
1495,qualitative-bankruptcy,250,7,2.8,0,0,7,100,2.85714,0.349927,2,3,0,0,0,0,0,0,0,0,0,0,0,0
230,machine_cpu,209,7,3.34928,7,100,0,0,0,0,0,0,2146,4056.52,5,11796,0,0,0,0,0,0,0,0
20,mfeat-pixel,2000,241,12.05,0,0,241,100,6.87967,0.529269,5,10,0,0,0,0,0,0,0,0,0,0,0,0
1099,EgyptianSkulls,150,5,3.33333,5,100,0,0,0,0,0,0,-285.2,777.993,-1840,134,0,0,0,0,0,0,0,0
537,houses,20640,9,0.0436046,9,100,0,0,0,0,0,0,23544.9,64815.7,-120,206856,0,0,0,0,0,0,0,0
1064,ar6,101,30,29.703,29,96.6667,1,3.33333,2,0,2,2,119.207,465.86,0,2561,0,0,0,0,0,0,0,0
493,wind_correlations,45,47,104.444,47,100,0,0,0,0,0,0,2.91489,22.3976,-34,151,0,0,0,0,0,0,0,0
3,kr-vs-kp,3196,37,1.1577,0,0,37,100,2.02703,0.162162,2,3,0,0,0,0,0,0,0,0,0,0,0,0
43,haberman,306,4,1.30719,2,50,2,50,7,5,2,12,28,24,4,52,0,0,0,0,0,0,0,0
1476,gas-drift,13910,129,0.92739,128,99.2248,1,0.775194,6,0,6,6,2791.46,9399.43,-73,57340,0,0,0,0,0,0,0,0
1525,wall-robot-navigation,5456,3,0.0549853,2,66.6667,1,33.3333,4,0,4,4,1,0,1,1,0,0,0,0,0,0,0,0
196,autoMpg,398,8,2.01005,5,62.5,3,37.5,7,4.32049,3,13,661.4,1156.08,16,2970,1,12.5,6,1.50754,6,1.50754,0.75,0.188442
287,wine_quality,6497,12,0.184701,12,100,0,0,0,0,0,0,15,31.541,0,116,0,0,0,0,0,0,0,0
36,segment,2310,20,0.865801,19,95,1,5,7,0,7,7,24.5263,38.238,-13,125,0,0,0,0,0,0,0,0
1520,robot-failures-lp5,164,91,55.4878,90,98.9011,1,1.0989,5,0,5,5,-17.6556,38.1739,-170,7,0,0,0,0,0,0,0,0
59,ionosphere,351,35,9.97151,34,97.1429,1,2.85714,2,0,2,2,0.176471,0.38122,0,1,0,0,0,0,0,0,0,0
378,ipums_la_99-small,8844,61,0.689733,0,0,61,100,163.77,579.322,1,3890,0,0,0,0,18,29.5082,6172,69.7874,168,1.89959,844.508,9.54894
1590,adult,48842,15,0.0307113,6,40,9,60,11.2222,11.4579,2,41,31820,70591,10,189664,3,20,2809,5.7512,857,1.75464,431,0.882437
1466,cardiotocography,2126,36,1.69332,35,97.2222,1,2.77778,10,0,10,10,106.143,312.24,0,1703,0,0,0,0,0,0,0,0
1053,jm1,10885,22,0.202113,21,95.4545,1,4.54545,2,0,2,2,1902.62,7824.07,0,36836,5,22.7273,5,0.0459348,5,0.0459348,1.13636,0.0104397
1066,kc1-binary,145,95,65.5172,94,98.9474,1,1.05263,2,0,2,2,1290.46,8261.93,0,76250,0,0,0,0,0,0,0,0
34,postoperative-patient-data,90,9,10,0,0,9,100,2.88889,0.566558,2,4,0,0,0,0,1,11.1111,3,3.33333,3,3.33333,0.333333,0.37037
1030,ERA,1000,5,0.5,5,100,0,0,0,0,0,0,6.4,1.35647,4,8,0,0,0,0,0,0,0,0
1464,blood-transfusion-service-center,748,5,0.668449,4,80,1,20,2,0,2,2,357.25,590.005,6,1379,0,0,0,0,0,0,0,0
1111,KDDCup09_appetency,50000,231,0.462,192,83.1169,39,16.8831,1833.49,4106.71,1,15415,185277,709771,-153279,6.18E+06,211,91.342,50000,100,1,0.002,34736.6,69.4732
1523,vertebra-column,310,7,2.25806,6,85.7143,1,14.2857,3,0,3,3,52.8333,32.4778,18,118,0,0,0,0,0,0,0,0
1483,ldpa,164860,8,0.0048526,5,62.5,3,37.5,6.66667,3.09121,4,11,82188.8,233.597,81870,82430,0,0,0,0,0,0,0,0
503,wind,6574,15,0.228172,15,100,0,0,0,0,0,0,14.3333,15.1687,6,70,0,0,0,0,0,0,0,0
212,diabetes_numeric,43,3,6.97674,3,100,0,0,0,0,0,0,2,7.25718,-8,9,0,0,0,0,0,0,0,0
571,delta_elevators,9517,7,0.0735526,7,100,0,0,0,0,0,0,-1.71429,4.19913,-12,0,0,0,0,0,0,0,0,0
208,detroit,13,14,107.692,14,100,0,0,0,0,0,0,32568.4,116470,4,452508,0,0,0,0,0,0,0,0
354,poker,1.03E+06,11,0.00107316,10,90.9091,1,9.09091,2,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0
1504,steel-plates-fault,1941,34,1.75167,33,97.0588,1,2.94118,2,0,2,2,106448,393829,0,1.65E+06,0,0,0,0,0,0,0,0
8,liver-disorders,345,7,2.02899,6,85.7143,1,14.2857,2,0,2,2,42.6667,29.0268,3,90,0,0,0,0,0,0,0,0
